Project,DriftIndexes
1,
3,447;1023
4,2239;2943
5,
8,

11,447;575;863
12,319
13,1695;2751
24,255;351
25,319

28,1055;2495;4287;4575;5631;8863;10271;11583;14495;14943;15999;16319
29,
34,575
36,223
43,3039
