window,MAE,MSE,R2,MMRE
1,2.33,10.969999999999997,0.019800564709246515,0.7709166666666667
2,2.29,10.529999999999996,-0.05316850696111364,0.8187051282051282
3,2.46,12.219999999999997,-0.0012208011405066,0.7643269230769232
4,3.1599999999999993,18.61999999999999,-0.03094495905565009,0.8646602564102563
5,1.97,5.81,-0.26348295059150995,1.5096666666666667
6,1.0,2.9200000000000013,-0.07278004335207,0.5411666666666668
7,3.0,25.039999999999992,-0.29728161476331305,0.5822871711621711
8,2.02,8.72,0.2550764998846736,0.7805595238095238
9,2.76,19.28,-0.06867097904229769,0.8569032356532357
10,2.83,15.53,0.0978221088771285,0.9558888888888888
11,2.3100000000000005,12.810000000000002,-0.25495958853783973,0.5485256410256412
