window,MAE,MSE,R2,MMRE
1,2.411504424778761,9.836283185840708,-0.06111802239255204,0.7173871114136601
2,2.7079646017699117,12.49557522123894,-0.0023416408447498593,0.896570796460177
3,2.504424778761062,12.29203539823009,-0.016495045657664686,0.7585720695233971
4,2.8849557522123894,15.477876106194692,0.06342052885982374,0.9346820399364647
5,2.575221238938053,13.185840707964601,0.11488211877359888,0.8090041411390969
6,2.893805309734513,18.061946902654867,-0.054322285714285545,0.7189372021783527
7,2.225663716814159,7.853982300884958,0.11642720739016177,1.002009587020649
8,2.2389380530973453,11.150442477876107,0.12289780077619661,0.7187216360335829
9,2.1327433628318584,10.619469026548675,0.023893376907807795,0.7606194690265485
10,1.747787610619469,6.216814159292035,0.04152882084470311,0.7034150215566144
11,2.0973451327433628,10.929203539823009,-0.015357135711388414,0.6803083163149535
