window,MAE,MSE,R2,MMRE
1,2.9791666666666665,15.212499999999999,-0.7809900893503203,0.41905181623931625
2,2.2583333333333333,8.316666666666665,0.02007752810137986,0.4941586538461538
3,2.0208333333333335,7.104166666666666,0.024822695035460973,0.4670405982905983
4,1.8625000000000005,6.1625,0.04084566413385371,0.4152911324786325
5,1.3875000000000004,3.5541666666666676,0.08818407350825541,0.3474519230769231
6,1.475,3.9000000000000017,-0.0010695187165774556,0.3674813034188034
7,1.3833333333333335,3.3416666666666686,0.04884267952797949,0.289334935897436
8,1.4041666666666672,3.5875000000000017,0.07448795410062214,0.3464298433048433
9,1.4791666666666672,4.237500000000002,-0.03715979348588183,0.3124225427350428
10,1.5708333333333333,5.129166666666666,0.03363818345959091,0.4029567307692307
11,2.0,7.508333333333334,-0.07624925343420297,0.5249732905982907
