percent,MAE,MSE,R2,MMRE
10,2.7125,15.337500000000002,-0.058824798438082304,0.720332532051282
15,2.754166666666667,15.995833333333335,-0.10427286096272681,0.728150819088319
20,2.8,15.833333333333336,-0.09305466831423859,0.7594983084045585
25,2.625,14.991666666666669,-0.034950183314376604,0.7039529914529915
30,2.629166666666667,14.429166666666669,0.003882022007313579,0.7057678952991453
35,2.6875,14.412500000000001,0.0050326058686969155,0.7352586360398861
40,2.6333333333333333,13.533333333333335,0.06572590455667182,0.7290571581196582
45,2.620833333333333,14.087500000000002,0.027468991165673473,0.691443643162393
50,2.65,15.150000000000002,-0.0458807299975188,0.6630987357549857
55,2.716666666666667,16.05,-0.10801225851222296,0.6191555377492878
60,2.9541666666666666,18.312500000000004,-0.2642040176950209,0.6357434116809116
65,3.1458333333333335,19.837500000000002,-0.3694824410116029,0.6775894764957264
70,3.075,19.16666666666667,-0.3231714405909205,0.6706450320512821
75,3.0208333333333335,18.670833333333338,-0.28894157071476423,0.6561485042735042
80,2.8875,17.612500000000004,-0.21587949551691765,0.645153133903134
