percent,MAE,MSE,R2,MMRE
10,0.8095238095238095,1.1587301587301588,-0.4483898905597983,0.6277777777777778
15,0.7063492063492064,0.9444444444444444,-0.18053696559326027,0.5175925925925926
20,0.6984126984126984,0.9682539682539683,-0.21029840170065328,0.4845238095238096
25,0.6825396825396826,0.9206349206349206,-0.15077552948586703,0.4743386243386244
30,0.6746031746031746,0.9603174603174603,-0.20037792299818902,0.48624338624338626
35,0.6825396825396826,0.9047619047619047,-0.13093457208093828,0.48359788359788364
40,0.7142857142857143,0.9682539682539683,-0.21029840170065328,0.5071428571428572
45,0.6111111111111112,0.8015873015873016,-0.0019683489489015216,0.4264550264550265
50,0.6587301587301587,0.9285714285714286,-0.16069600818833152,0.478042328042328
55,0.6825396825396826,0.9206349206349206,-0.15077552948586703,0.45714285714285713
60,0.6428571428571429,0.8809523809523809,-0.10117313597354527,0.4357142857142858
65,0.626984126984127,0.8492063492063492,-0.06149122116368777,0.41587301587301584
70,0.5634920634920635,0.7698412698412699,0.03771356586095598,0.38015873015873025
75,0.6190476190476191,0.8253968253968254,-0.031729785056294535,0.4174603174603175
80,0.5952380952380952,0.753968253968254,0.05755452326588473,0.37777777777777777
