percent,MAE,MSE,R2,MMRE
10,1.7333333333333334,4.400000000000001,-0.6123778501628667,0.8249999999999998
15,1.3333333333333337,3.2,-0.17263843648208455,0.6749999999999999
20,1.2,2.666666666666667,0.02280130293159599,0.5166666666666665
25,1.2000000000000004,2.8000000000000003,-0.026058631921824116,0.5499999999999999
30,1.1333333333333333,2.4666666666666672,0.09609120521172632,0.4999999999999999
35,1.0666666666666669,2.266666666666667,0.16938110749185653,0.4666666666666666
40,1.1333333333333337,3.000000000000001,-0.09934853420195466,0.4916666666666666
45,1.0000000000000002,2.600000000000001,0.04723127035830588,0.425
50,1.2,2.800000000000001,-0.026058631921824338,0.4749999999999999
55,1.2,2.800000000000001,-0.026058631921824338,0.4749999999999999
60,1.3333333333333333,2.933333333333334,-0.07491856677524433,0.5083333333333332
65,1.3333333333333333,3.0666666666666673,-0.12377850162866455,0.5249999999999998
70,1.2,2.6666666666666674,0.02280130293159588,0.45833333333333326
75,1.2666666666666666,2.733333333333334,-0.0016286644951140072,0.47499999999999987
80,1.2666666666666664,2.733333333333334,-0.0016286644951140072,0.4583333333333332
