percent,MAE,MSE,R2,MMRE
10,0.7291666666666669,1.34375,-0.00291545189504383,0.4180555555555556
15,0.7708333333333335,1.3020833333333333,0.02818270165208936,0.5291666666666668
20,0.8541666666666669,1.3854166666666667,-0.03401360544217691,0.6125
25,0.9375000000000001,1.5520833333333333,-0.15840621963070944,0.6055555555555555
30,1.0208333333333335,1.71875,-0.282798833819242,0.6611111111111111
35,0.9375,1.5520833333333333,-0.15840621963070944,0.6263888888888889
40,0.8958333333333335,1.5104166666666667,-0.12730806608357637,0.5847222222222223
45,0.9375000000000001,1.46875,-0.09620991253644307,0.6541666666666667
50,0.8541666666666669,1.3854166666666667,-0.03401360544217691,0.5916666666666668
55,0.8958333333333335,1.4270833333333333,-0.06511175898930999,0.6124999999999999
60,0.8958333333333335,1.4270833333333333,-0.06511175898930999,0.6333333333333334
65,0.7708333333333335,1.3020833333333333,0.02818270165208936,0.5291666666666668
70,0.7291666666666669,1.2604166666666667,0.05928085519922255,0.5083333333333334
75,0.7708333333333335,1.3020833333333333,0.02818270165208936,0.5291666666666668
80,0.8541666666666669,1.3854166666666667,-0.03401360544217691,0.5916666666666668
