percent,MAE,MSE,R2,MMRE
10,1.3671875,3.1895312499999995,-0.20230405289124764,1.4198102678571427
15,1.3515625,3.1582812499999995,-0.19052426498264774,1.3621465773809525
20,1.3046875,2.8301562499999995,-0.06683649194234875,1.2713727678571427
25,1.4296875,3.1645312499999996,-0.19288022256436776,1.4673363095238097
30,1.4453125,3.1895312499999995,-0.20230405289124764,1.404185267857143
35,1.3203125,2.9395312499999995,-0.10806574962244841,1.279185267857143
40,1.3828125,3.1582812499999995,-0.19052426498264774,1.3656436011904762
45,1.3203125,2.8364062499999996,-0.06919244952406878,1.2297061011904762
50,1.3671875,3.0020312499999995,-0.13162532543964822,1.3182477678571427
55,1.3984375,3.2364062499999995,-0.21997373475414728,1.396372767857143
60,1.4296875,3.1895312499999995,-0.20230405289124764,1.388560267857143
65,1.3671875,3.0801562499999995,-0.16107479521114798,1.3833519345238097
70,1.2421875,2.7051562499999995,-0.01971734030794936,1.2349144345238094
75,1.1953125,2.5707812499999996,0.03093574769903018,1.1229352678571427
80,1.1796875,2.4301562499999996,0.08394479328772975,1.083872767857143
