percent,MAE,MSE,R2,MMRE
10,2.7560975609756095,9.390243902439025,-0.8139508159043893,2.2219512195121953
15,2.1219512195121952,5.975609756097563,-0.15433233739370245,1.5975609756097562
20,1.853658536585366,5.26829268292683,-0.017697081130774395,1.2203252032520326
25,1.8780487804878048,5.3414634146341475,-0.03183176281314637,1.2890243902439025
30,2.024390243902439,5.8780487804878065,-0.1354860951505401,1.511178861788618
35,2.1219512195121952,6.512195121951221,-0.2579866697310962,1.5654471544715447
40,2.2195121951219514,6.951219512195124,-0.34279475982532737,1.6967479674796746
45,2.097560975609756,6.195121951219513,-0.19673638244081815,1.536382113821138
50,2.1707317073170733,6.560975609756099,-0.26740979085267735,1.5802845528455283
55,1.853658536585366,5.512195121951221,-0.06481268673868068,1.275609756097561
60,1.829268292682927,5.292682926829269,-0.0224086416915652,1.2367886178861789
65,1.829268292682927,5.195121951219513,-0.0035623994484026422,1.1979674796747968
70,1.7317073170731707,5.000000000000002,0.034130085037922364,1.1288617886178862
75,1.8048780487804879,5.219512195121952,-0.008273960009193226,1.1963414634146343
80,1.829268292682927,5.292682926829269,-0.0224086416915652,1.196138211382114
