percent,MAE,MSE,R2,MMRE
10,1.653225806451613,4.330645161290324,-0.026768642447418722,0.6803143093465672
15,1.5806451612903225,4.467741935483871,-0.05927342256214119,0.6681503308519436
20,1.467741935483871,4.322580645161291,-0.0248565965583174,0.5797921836228287
25,1.5,4.225806451612904,-0.0019120458891013214,0.5682330438378823
30,1.596774193548387,4.435483870967743,-0.05162523900573612,0.6353029363110007
35,1.6129032258064515,4.370967741935485,-0.03632887189292533,0.641351323407775
40,1.467741935483871,4.129032258064517,0.021032504780114758,0.5732733664185276
45,1.4516129032258065,4.112903225806453,0.0248565965583174,0.5595636889991727
50,1.5,4.370967741935485,-0.03632887189292533,0.5585556244830437
55,1.4596774193548387,4.120967741935485,0.02294455066921608,0.54014164598842
60,1.4838709677419355,4.274193548387098,-0.013384321223709472,0.544913151364764
65,1.4435483870967742,4.217741935483872,0.0,0.5325475599669146
70,1.4596774193548387,4.28225806451613,-0.015296367112810794,0.5203835814722911
75,1.4112903225806452,4.298387096774195,-0.019120458891013437,0.5012303556658395
80,1.3870967741935485,4.112903225806453,0.0248565965583174,0.47898573200992556
