percent,MAE,MSE,R2,MMRE
10,2.975,14.674999999999997,-0.23481462003681308,1.1572115384615382
15,2.8750000000000004,11.924999999999999,-0.003418353931107232,0.9663461538461539
20,2.8500000000000005,12.499999999999996,-0.051801209571391116,0.8803365384615385
25,2.875,12.474999999999998,-0.049697607152248136,0.8752884615384614
30,2.8750000000000004,11.974999999999998,-0.007625558769392526,0.8320673076923077
35,3.0000000000000004,12.999999999999996,-0.09387325795424672,0.8270993589743588
40,2.95,12.949999999999998,-0.08966605311596121,0.7726121794871794
45,3.2,15.199999999999998,-0.27899027083881145,0.7054647435897435
50,3.4,17.799999999999994,-0.49776492242966075,0.6877403846153846
55,3.225,15.475,-0.30212989744938246,0.6733333333333332
60,3.25,16.249999999999996,-0.3673415724428084,0.6594711538461538
65,3.25,15.999999999999996,-0.3463055482513806,0.6413461538461538
70,3.3,16.549999999999997,-0.3925848014725217,0.6524358974358974
75,3.275,15.574999999999998,-0.31054430712595327,0.6586378205128206
80,3.225,15.274999999999997,-0.28530107809623995,0.6792147435897435
