percent,MAE,MSE,R2,MMRE
10,2.047169811320755,5.254716981132075,-4.082379271756907,1.6672955974842767
15,1.679245283018868,3.7735849056603774,-2.6498235344753374,1.3691823899371072
20,1.650943396226415,3.5754716981132075,-2.458207798915382,1.3408805031446538
25,1.4433962264150944,2.8962264150943398,-1.8012395627098212,1.1836477987421383
30,1.4528301886792452,3.0377358490566038,-1.9381079452526464,1.1723270440251572
35,1.3867924528301887,2.8773584905660377,-1.7829904450374445,1.1314465408805032
40,1.3773584905660377,2.69811320754717,-1.609623827149866,1.0921383647798741
45,1.3584905660377358,2.5660377358490565,-1.4818800034432291,1.0933962264150945
50,1.4528301886792452,2.9056603773584904,-1.8103641215460096,1.1889937106918238
55,1.4811320754716981,2.9716981132075473,-1.874236033399328,1.2031446540880504
60,1.5,2.9150943396226414,-1.819488680382198,1.2028301886792452
65,1.490566037735849,2.9622641509433962,-1.8651114745631396,1.1933962264150941
70,1.4528301886792452,2.7547169811320753,-1.664371180166996,1.133647798742138
75,1.7547169811320755,3.8867924528301887,-2.7593182405095975,1.3871069182389937
80,1.5377358490566038,3.0849056603773586,-1.9837307394335881,1.2336477987421381
