percent,MAE,MSE,R2,MMRE
10,1.5714285714285714,3.8571428571428563,-3.9736842105263213,0.7619047619047618
15,2.2857142857142856,5.999999999999999,-6.736842105263167,1.0238095238095235
20,1.8571428571428572,4.428571428571428,-4.7105263157894806,0.8452380952380949
25,1.2857142857142858,2.4285714285714275,-2.1315789473684243,0.6190476190476188
30,2.0,5.1428571428571415,-5.631578947368429,0.9166666666666663
35,2.142857142857143,5.285714285714285,-5.815789473684219,0.9285714285714283
40,1.4285714285714286,2.8571428571428563,-2.6842105263157934,0.6666666666666666
45,1.8571428571428572,3.8571428571428563,-3.9736842105263213,0.8095238095238092
50,1.5714285714285714,3.5714285714285703,-3.6052631578947425,0.7380952380952378
55,1.8571428571428572,3.8571428571428563,-3.9736842105263213,0.8095238095238092
60,2.0,4.57142857142857,-4.89473684210527,0.8809523809523806
65,1.7142857142857142,4.285714285714285,-4.526315789473691,0.8095238095238092
70,1.2857142857142851,2.1428571428571415,-1.7631578947368443,0.5714285714285712
75,1.2857142857142854,2.142857142857142,-1.7631578947368447,0.5833333333333331
80,1.2857142857142854,2.142857142857142,-1.7631578947368447,0.5833333333333331
