percent,MAE,MSE,R2,MMRE
10,1.894736842105263,4.982456140350878,-0.8213321332133214,1.3035087719298246
15,1.9649122807017543,5.368421052631579,-0.9624212421242124,1.3290935672514619
20,1.9298245614035088,4.982456140350878,-0.8213321332133214,1.3128654970760234
25,1.9824561403508771,5.0701754385964914,-0.8533978397839783,1.311111111111111
30,2.0,5.12280701754386,-0.8726372637263726,1.3228070175438598
35,1.9649122807017543,4.982456140350878,-0.8213321332133214,1.308187134502924
40,2.0701754385964914,5.543859649122807,-1.0265526552655264,1.3695906432748537
45,1.894736842105263,4.701754385964913,-0.7187218721872188,1.2350877192982457
50,1.912280701754386,4.754385964912281,-0.7379612961296129,1.246783625730994
55,1.9473684210526316,4.859649122807017,-0.7764401440144015,1.2701754385964914
60,1.9649122807017543,5.2631578947368425,-0.923942394239424,1.2976608187134504
65,1.9649122807017543,5.017543859649122,-0.8341584158415842,1.286549707602339
70,1.8245614035087718,4.491228070175438,-0.6417641764176418,1.2270467836257308
75,1.8245614035087718,4.421052631578948,-0.6161116111611162,1.191812865497076
80,1.736842105263158,3.8421052631578947,-0.4044779477947795,1.1353801169590643
