percent,MAE,MSE,R2,MMRE
10,1.1145833333333333,2.322916666666667,-0.17368421052631566,0.669704861111111
15,1.1875,2.541666666666667,-0.28421052631578947,0.7340277777777778
20,1.1458333333333333,2.3750000000000004,-0.19999999999999996,0.709375
25,1.1041666666666667,2.3333333333333335,-0.17894736842105252,0.6634548611111111
30,1.0729166666666667,2.2187500000000004,-0.1210526315789473,0.6520833333333332
35,0.9791666666666666,2.1250000000000004,-0.0736842105263158,0.5852430555555554
40,0.9791666666666666,2.0833333333333335,-0.05263157894736836,0.5651041666666666
45,0.9791666666666666,2.0625000000000004,-0.042105263157894646,0.5664930555555555
50,1.0,2.0625000000000004,-0.042105263157894646,0.5947048611111111
55,1.0208333333333333,2.041666666666667,-0.03157894736842115,0.6020833333333333
60,1.0208333333333333,2.1250000000000004,-0.0736842105263158,0.6051215277777777
65,1.0104166666666667,2.1145833333333335,-0.06842105263157894,0.591579861111111
70,1.03125,2.072916666666667,-0.047368421052631504,0.6090277777777778
75,1.0104166666666667,2.010416666666667,-0.015789473684210575,0.5825520833333333
80,0.9583333333333334,1.9375000000000002,0.021052631578947323,0.5749131944444444
