window,MAE,MSE,R2,MMRE
1,2.973404255319149,14.385638297872335,-0.16996831430734471,0.5851063829787234
2,3.5425531914893615,17.946808510638288,-0.10999272034942309,1.0920008183306056
3,3.425531914893617,18.38297872340425,-0.16806293640920167,0.8855019094380795
4,2.627659574468085,13.074468085106378,-0.08069223573433115,0.55246863066012
5,2.8723404255319136,14.297872340425524,-0.056073828869495745,0.6170280960174577
6,2.872340425531915,14.148936170212757,-0.1905192690428803,0.4583469721767594
7,3.827978723404255,18.66849893617021,-0.5882288342890793,3.0815372202504636
8,1.5001063829787233,3.9647521276595734,-0.030064912388858556,1.0946315595333056
9,1.1914893617021276,2.3191489361702122,-0.049795081967213495,0.6721884498480244
10,1.4148936170212767,4.563829787234042,-0.07950530035335657,0.6969098277608916
11,1.5851063829787233,6.8829787234042525,-0.04505464293078543,0.6663120567375886
