window,MAE,MSE,R2,MMRE
1,1.7254901960784315,4.509803921568628,0.10499008087898676,0.7643790849673204
2,1.2745098039215685,2.568627450980393,0.07516611295681064,0.4423202614379084
3,1.607843137254902,4.274509803921571,-0.14429806504734466,0.46421568627450976
4,1.1764705882352942,2.0784313725490198,0.08558863328822741,0.6169934640522875
5,0.8627450980392157,1.7254901960784317,-0.04566635601118363,0.29281045751633983
6,1.3529411764705883,2.960784313725491,-0.004303599374021916,0.4344771241830065
7,1.2549019607843137,2.5098039215686274,-0.0652741514360311,0.8076797385620914
8,1.392156862745098,3.5490196078431384,-0.0994521200571703,0.48382352941176465
9,1.0784313725490196,2.1372549019607847,0.05459183673469381,0.5464052287581699
10,1.1372549019607843,3.1764705882352953,-0.1529444599497629,0.4044117647058823
11,1.803921568627451,6.862745098039215,-0.15354788677782127,0.5559326294620411
