window,MAE,MSE,R2,MMRE
1,1.7307692307692308,8.884615384615383,0.07727761560915647,0.8919625246548324
2,0.9807692307692307,2.134615384615385,0.11904761904761907,0.5442307692307692
3,1.1346153846153846,3.673076923076922,0.08477699963140406,0.48402366863905333
4,1.1346153846153846,2.7115384615384626,-0.029341569563386516,0.6974358974358975
5,1.0961538461538463,2.5576923076923084,0.11729419272495223,0.5625000000000001
6,0.6923076923076923,0.9615384615384616,0.04796777737092617,0.5086538461538462
7,0.6923076923076923,2.192307692307693,-0.20024296416278609,0.36666666666666664
8,0.8461538461538461,1.9615384615384612,-0.14830049794327804,0.38012820512820517
9,0.7884615384615384,1.0192307692307692,-0.1464226289517474,0.5980769230769231
10,0.6346153846153846,1.0961538461538463,-0.06657070888808936,0.3387820512820513
11,0.5384615384615387,0.7692307692307693,-0.19608970672800452,0.30961538461538474
