window,MAE,MSE,R2,MMRE
1,0.7809859154929578,1.2296478873239436,-0.09976354388764719,0.7061032863849764
2,0.9014084507042254,2.9859154929577465,-0.16184558383666858,0.33113488624052007
3,1.0704225352112675,2.119718309859156,-0.07405452946350044,1.0710093896713615
4,0.647887323943662,0.9330985915492958,-0.29696008823326636,0.6650234741784038
5,0.43661971830985913,0.38732394366197187,-0.14836053521540937,0.65
6,0.5492957746478874,0.8485915492957747,-0.01518837140314444,0.5565727699530516
7,1.0598591549295775,3.0299295774647894,-0.27321416476938243,0.5466549295774648
8,0.971830985915493,2.221830985915494,-0.15015917026083403,0.5063967136150235
9,1.0669014084507042,2.470070422535212,-0.023724493728450424,0.6379107981220657
10,0.852112676056338,1.4929577464788732,0.02392840931197726,0.5375
11,0.9401408450704225,2.4172535211267605,-0.028101056228478916,0.5307240881184544
