percent,MAE,MSE,R2,MMRE
10,2.0718232044198897,7.769797421731123,0.06542620719815162,0.9464808518675921
15,2.0534069981583793,7.802946593001842,0.06143892863203804,0.902884025121594
20,2.0257826887661143,7.889502762430939,0.05102770126496359,0.88538390706899
25,2.023941068139963,7.427255985267035,0.10662808571465876,0.9033839779005525
30,2.014732965009208,7.480662983425415,0.100204136913698,0.8949390848562119
35,2.0902394106813995,7.611418047882136,0.08447653812513878,0.9459071162109836
40,2.0939226519337018,7.721915285451197,0.07118560957142683,0.9411956367757472
45,2.0736648250460403,7.565377532228361,0.09001442502251877,0.9356985172592907
50,2.020257826887661,7.335174953959484,0.11770385950941875,0.9111972895122067
55,2.022099447513812,7.34438305709024,0.11659628212994277,0.8979724465221701
60,2.005524861878453,7.239410681399631,0.12922266425596918,0.9036000141663124
65,1.996316758747698,7.075506445672192,0.14893754161064188,0.8933223544411388
70,1.9686924493554327,7.033149171270718,0.15403239755623155,0.8677462577324455
75,1.9355432780847146,6.9373848987108655,0.16555120230278197,0.8464908863389525
80,1.9650092081031307,7.195211786372007,0.13453903567745396,0.8476371771261274
