percent,MAE,MSE,R2,MMRE
10,1.8000000000000003,4.600000000000003,-0.00877192982456143,0.4733333333333333
15,1.4000000000000004,5.400000000000004,-0.1842105263157896,0.26499999999999996
20,1.4000000000000004,4.200000000000003,0.07894736842105243,0.27999999999999997
25,1.6000000000000003,6.0000000000000036,-0.3157894736842106,0.305
30,1.6000000000000003,6.0000000000000036,-0.3157894736842106,0.305
35,1.6000000000000003,6.0000000000000036,-0.3157894736842106,0.305
40,1.8000000000000003,6.600000000000003,-0.4473684210526314,0.4049999999999999
45,2.0000000000000004,6.8000000000000025,-0.49122807017543857,0.47166666666666657
50,1.8000000000000003,5.000000000000003,-0.09649122807017552,0.4466666666666666
55,1.8000000000000003,4.600000000000003,-0.00877192982456143,0.4733333333333333
60,1.8000000000000003,4.600000000000003,-0.00877192982456143,0.4733333333333333
65,1.6000000000000003,4.400000000000003,0.0350877192982455,0.40666666666666657
70,1.8000000000000003,4.600000000000003,-0.00877192982456143,0.4733333333333333
75,1.8000000000000003,4.600000000000003,-0.00877192982456143,0.4733333333333333
80,1.6000000000000003,3.2000000000000015,0.29824561403508776,0.44833333333333325
