window,MAE,MSE,R2,MMRE
1,3.717455621301775,25.527366863905314,-0.4577921262389095,0.6563513072622383
2,2.8402366863905324,13.999999999999995,-0.05751476598240313,0.7326398371516715
3,2.502958579881657,11.846153846153841,-0.05335616438356161,0.6277272037627067
4,2.4911242603550297,11.047337278106506,0.05930283172437645,0.804642694583523
5,2.230769230769231,9.568047337278104,0.04906267045617685,0.7437463424149815
6,1.9349112426035502,7.863905325443786,-0.036253724164420076,0.578777066129137
7,2.106508875739645,9.076923076923075,-0.02414025703650524,0.7169939527927692
8,1.8905325443786982,6.884615384615383,0.01692729002123572,0.6581940741704055
9,2.6094674556213016,13.91124260355029,-0.03489982620088439,0.7139963340407127
10,2.6153846153846154,12.775147928994077,0.012536425593008937,0.7040365781490041
11,1.9792899408284024,8.014792899408281,9.828203011374992e-05,0.5192708671998614
