window,MAE,MSE,R2,MMRE
1,0.7321428571428571,1.2372448979591835,-0.027009507346585915,0.5204931972789115
2,0.5714285714285714,0.7397959183673466,-0.12226664692235523,0.4049744897959184
3,0.8392857142857143,1.7525510204081627,-0.22384207082091168,0.3548469387755102
4,0.7193877551020408,0.9897959183673466,-0.02792571165959301,0.5020408163265306
5,0.7474489795918368,1.2423469387755097,-0.13355342849678165,0.4281462585034014
6,0.8341836734693877,1.5178571428571428,-0.031966904851448374,0.5063775510204082
7,0.6326530612244898,0.9693877551020406,-0.057023643949930536,0.429421768707483
8,0.701530612244898,1.2066326530612241,-0.18637387387387383,0.4142219387755102
9,0.7653061224489796,1.3214285714285714,-0.0077821011673151474,0.5144557823129252
10,0.7474489795918368,1.3494897959183674,0.0018099199014167677,0.4414328231292517
11,0.8188775510204082,1.670918367346938,-0.014717273431448241,0.4287840136054422
