window,MAE,MSE,R2,MMRE
1,1.3345195729537367,2.9003558718861213,0.08865711079452765,0.7873665480427047
2,2.0676156583629894,10.024911032028474,-0.19276275145031274,0.538552787663108
3,1.7651245551601424,6.370106761565838,0.046135349068303966,0.5735786307405524
4,1.5871886120996441,5.224199288256229,0.06840590969245564,0.5457740213523132
5,1.9217081850533808,7.715302491103205,0.05395433199990041,0.7408511269276393
6,1.881850533807829,8.091957295373666,0.05706490331119107,0.7690627729328796
7,1.843416370106762,5.886120996441283,0.017993196560248448,0.649288256227758
8,1.8256227758007122,5.113879003558721,0.13341216665736688,0.8216192170818505
9,1.5302491103202847,4.2206405693950195,0.12086967073434529,0.6761862396204033
10,1.7615658362989328,5.661921708185057,0.008241160994352015,0.5954626334519573
11,1.4768683274021353,3.612099644128115,0.09763790986977816,0.7420818505338078
