window,MAE,MSE,R2,MMRE
1,2.4624886541865214,12.048746040257925,0.16114040692302,1.6192279515225199
2,2.4201046085772635,11.845858017623488,0.11166820281598155,1.7951532631230995
3,2.4737297481279783,12.301608870660315,0.130352667916243,1.581148405300733
4,2.4216140231449965,12.490861834581347,0.16001778959900215,1.8692847381234554
5,2.1318311776718857,9.648775852961197,0.12820512743047674,1.3213405216532264
6,2.2516678012253233,10.744894831858408,0.09061695799299574,1.4757658188412281
7,2.4702859087814844,13.236133424098028,0.045568916170226514,1.0321963234472782
8,2.175649421375085,10.178001481960518,0.21285443504519785,1.1466369834599517
9,2.218362831858407,11.570148485364195,0.08925381842066038,1.005198423011002
10,2.0576479918311774,9.812800221245746,0.09631647519778563,14.700845095250209
11,1.7089584751531655,6.733811164057182,0.1525114086254521,1.0312397563774849
