window,MAE,MSE,R2,MMRE
1,2.068181818181819,7.022727272727275,0.02996575342465735,0.8246212121212121
2,1.8181818181818181,5.545454545454547,0.06440087145969486,0.930871212121212
3,1.6590909090909092,6.431818181818181,-0.05427144187621735,0.7847610722610722
4,1.4772727272727273,5.295454545454546,0.11620689655172389,0.8773310023310024
5,0.3409090909090909,0.7954545454545454,-0.7035398230088492,0.23333333333333336
6,0.7272727272727273,4.999999999999999,-0.1158501440922195,0.16510780885780887
7,0.8181818181818182,1.8181818181818186,-0.07744107744107742,0.428030303030303
8,0.5227272727272728,3.7045454545454533,0.11358299344951195,0.09688228438228443
9,1.0909090909090908,4.727272727272726,-0.08952380952380978,0.48021561771561777
10,0.7727272727272727,1.3636363636363635,-0.036106750392464804,0.4787878787878789
11,0.8181818181818182,1.0454545454545454,-0.4882352941176471,0.6954545454545454
